id,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
10148922,Bruxelles,APARTMENT,APARTMENT,residential_sale,275000,3,98,0,0,0,1,None,0,None,None,2,0,AS_NEW
10147556,Havelange,APARTMENT,PENTHOUSE,residential_sale,79000,2,77,0,0,0,0,None,0,None,None,,0,GOOD
9881253,Brussels City,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
10147547,SINT-ANTONIUS,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
10148143,Anderlecht,APARTMENT,APARTMENT,residential_sale,235000,2,96,1,0,0,1,None,0,None,None,,0,GOOD
10148104,Anderlecht,APARTMENT,APARTMENT,residential_sale,265000,2,91,0,0,0,1,None,0,None,None,3,0,GOOD
10070415,Waterloo,APARTMENT,APARTMENT,residential_sale,315000,2,100,0,0,0,1,None,0,None,None,2,0,GOOD
10147389,SINT-JOB-IN-'T-GOOR,APARTMENT,DUPLEX,residential_sale,335000,2,128,0,0,0,1,None,0,None,,3,0,AS_NEW
10147596,Woluwe-Saint-Pierre,APARTMENT,APARTMENT,residential_sale,370000,2,95,0,0,0,0,None,0,None,None,2,0,GOOD
10092917,Bruxelles,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
10147424,HAREN (BRU.),APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
10146795,Deurne,APARTMENT,APARTMENT,residential_sale,215000,2,85,0,0,0,0,None,0,None,,2,0,JUST_RENOVATED
10146530,Sint-Lambrechts-Woluwe,APARTMENT,PENTHOUSE,residential_sale,297000,1,55,0,0,0,1,None,0,None,,2,0,AS_NEW
10145899,Antwerp,APARTMENT,APARTMENT,residential_sale,195000,2,90,0,0,0,0,None,0,None,,2,0,GOOD
10145897,Hoboken,APARTMENT,APARTMENT,residential_sale,225000,2,82,0,0,0,1,None,0,None,,,0,AS_NEW
10146186,Etterbeek,APARTMENT,APARTMENT,residential_sale,275000,1,75,0,0,1,1,None,0,None,,2,0,TO_BE_DONE_UP
10145269,Woluwe-Saint-Lambert,APARTMENT,APARTMENT,residential_sale,275000,1,83,1,0,0,1,None,0,None,None,2,0,AS_NEW
10145286,Gent Sint-Denijs-Westrem,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
10141214,Ixelles,APARTMENT,APARTMENT,residential_sale,1995000,4,277,0,0,1,1,None,0,None,None,4,0,JUST_RENOVATED
10143541,Laeken,APARTMENT,APARTMENT,residential_sale,220000,1,70,0,0,0,1,None,0,None,,2,0,AS_NEW
10143954,Hoboken,APARTMENT,APARTMENT,residential_sale,225000,2,81,0,0,0,1,None,0,None,,2,0,AS_NEW
10143882,Evere,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
10143225,Wavre,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
10142884,Evere,APARTMENT,APARTMENT,residential_sale,315000,3,95,1,0,0,1,None,0,None,None,,0,GOOD
10143801,Gent,APARTMENT,DUPLEX,residential_sale,370000,3,127,1,0,0,0,None,0,None,None,,0,JUST_RENOVATED
10143472,Chaumont-Gistoux,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,None,None,None,None,0,0,0,None,0,None,None,None,0,None
