post_code,type_of_property,subtype,price,construction_year,state,type_of_sale,bedrooms_count,habitable_surface,kitchen_type,furnished,fireplace,has_terrace,terrace_area,has_garden,garden_area,land_area,num_facade,swimmingpool
5000,HOUSE,HOUSE,159000.0,1900.0,GOOD,Regular,3.0,106.0,INSTALLED,False,False,None,None,None,None,40.0,2.0,False
4430,HOUSE,HOUSE,159000.0,1899.0,GOOD,Regular,2.0,122.0,SEMI_EQUIPPED,False,False,True,20.0,True,171.0,335.0,2.0,False
9000,HOUSE,HOUSE,345000.0,1941.0,GOOD,Regular,4.0,119.0,USA_INSTALLED,False,False,None,None,None,None,49.0,2.0,False
1150,HOUSE,VILLA,895000.0,1961.0,TO_RENOVATE,Regular,3.0,200.0,INSTALLED,False,False,True,12.0,True,200.0,300.0,3.0,False
1570,HOUSE,VILLA,570000.0,1989.0,AS_NEW,Regular,4.0,404.0,HYPER_EQUIPPED,False,False,True,52.0,True,1000.0,1000.0,4.0,False
4052,HOUSE,COUNTRY_COTTAGE,325000.0,1900.0,TO_RENOVATE,Regular,4.0,180.0,NOT_INSTALLED,False,False,True,None,True,380.0,555.0,4.0,False
4950,HOUSE,HOUSE,425000.0,1975.0,GOOD,Regular,3.0,130.0,SEMI_EQUIPPED,False,False,True,14.0,None,None,991.0,4.0,False
9600,HOUSE,APARTMENT_BLOCK,450000.0,1885.0,GOOD,Regular,6.0,306.0,INSTALLED,False,False,True,12.0,True,215.0,460.0,2.0,False
1150,HOUSE,HOUSE,750000.0,1936.0,TO_RENOVATE,Regular,4.0,200.0,INSTALLED,False,False,True,None,None,None,360.0,3.0,False
1150,HOUSE,HOUSE,450000.0,1968.0,TO_RENOVATE,Regular,3.0,100.0,INSTALLED,False,False,True,10.0,True,50.0,170.0,3.0,False
3070,HOUSE,HOUSE,495000.0,1932.0,GOOD,Regular,5.0,208.0,USA_HYPER_EQUIPPED,False,False,True,65.0,True,70.0,187.0,3.0,False
1200,HOUSE,HOUSE,760000.0,1958.0,GOOD,Regular,5.0,259.0,INSTALLED,False,False,True,12.0,True,75.0,178.0,2.0,False
9600,HOUSE,HOUSE,129000.0,1936.0,TO_RENOVATE,Regular,3.0,165.0,NOT_INSTALLED,False,False,None,None,True,430.0,610.0,2.0,False
1325,HOUSE,VILLA,550000.0,1976.0,TO_BE_DONE_UP,Regular,4.0,203.0,INSTALLED,False,False,True,30.0,True,1737.0,1886.0,4.0,False
1150,HOUSE,HOUSE,475000.0,1931.0,JUST_RENOVATED,Regular,3.0,107.0,HYPER_EQUIPPED,False,False,True,10.0,True,85.0,246.0,3.0,False
8790,HOUSE,VILLA,765000.0,2000.0,GOOD,Regular,4.0,245.0,HYPER_EQUIPPED,False,True,None,None,True,None,763.0,4.0,True
1050,HOUSE,APARTMENT_BLOCK,1000000.0,1920.0,GOOD,Regular,10.0,340.0,HYPER_EQUIPPED,False,False,True,30.0,True,145.0,285.0,2.0,False
1933,HOUSE,VILLA,1195000.0,1969.0,GOOD,Regular,7.0,540.0,INSTALLED,False,True,True,35.0,True,None,1241.0,4.0,False
1030,HOUSE,HOUSE,695000.0,1911.0,TO_RENOVATE,Regular,5.0,288.0,HYPER_EQUIPPED,False,True,True,35.0,True,65.0,170.0,2.0,False
1030,HOUSE,HOUSE,700000.0,1930.0,GOOD,Regular,8.0,323.0,USA_HYPER_EQUIPPED,False,False,True,27.0,None,None,100.0,2.0,True
1380,HOUSE,VILLA,995000.0,1980.0,GOOD,Regular,6.0,278.0,INSTALLED,False,False,True,21.0,True,5341.0,5541.0,4.0,True
1420,HOUSE,VILLA,1250000.0,1975.0,AS_NEW,Regular,5.0,420.0,USA_HYPER_EQUIPPED,False,False,True,80.0,True,4300.0,4677.0,4.0,False
1030,HOUSE,HOUSE,345000.0,1933.0,TO_BE_DONE_UP,Regular,4.0,145.0,SEMI_EQUIPPED,False,False,True,25.0,None,None,75.0,2.0,False
1820,HOUSE,HOUSE,499000.0,1970.0,AS_NEW,Regular,3.0,170.0,HYPER_EQUIPPED,False,False,True,35.0,True,850.0,1090.0,3.0,False
1040,HOUSE,HOUSE,600000.0,1931.0,GOOD,Regular,5.0,171.0,INSTALLED,False,False,True,15.0,True,50.0,120.0,2.0,False
4500,HOUSE,HOUSE,199500.0,1970.0,GOOD,Regular,4.0,160.0,INSTALLED,False,False,True,15.0,True,285.0,365.0,2.0,False
1070,HOUSE,APARTMENT_BLOCK,1409000.0,1960.0,TO_BE_DONE_UP,Regular,5.0,420.0,SEMI_EQUIPPED,False,False,None,None,None,None,119.0,3.0,False
1160,HOUSE,HOUSE,649000.0,1950.0,TO_BE_DONE_UP,Regular,3.0,219.0,NOT_INSTALLED,False,False,True,25.0,True,36.0,135.0,2.0,False
4420,HOUSE,HOUSE,120000.0,1900.0,GOOD,Regular,2.0,93.0,INSTALLED,False,False,True,None,None,None,43.0,3.0,False
8380,APARTMENT,APARTMENT,259000.0,None,AS_NEW,Regular,2.0,89.0,None,False,False,True,19.0,None,None,None,None,False
8380,APARTMENT,APARTMENT,189000.0,None,AS_NEW,Regular,1.0,58.0,None,False,False,True,6.0,None,None,None,None,False
8380,APARTMENT,APARTMENT,239000.0,None,AS_NEW,Regular,2.0,88.0,None,False,False,True,33.0,None,None,None,None,False
8380,APARTMENT,PENTHOUSE,495000.0,None,AS_NEW,Regular,3.0,104.0,None,False,False,True,32.0,None,None,None,None,False
1020,HOUSE,APARTMENT_BLOCK,950000.0,None,TO_BE_DONE_UP,Regular,8.0,410.0,None,False,False,None,None,None,None,320.0,2.0,False
5140,HOUSE,HOUSE,455000.0,None,GOOD,Regular,9.0,320.0,INSTALLED,False,False,None,None,None,None,2500.0,4.0,False
2980,HOUSE,HOUSE,338000.0,1978.0,GOOD,Regular,4.0,171.0,None,False,False,True,None,None,None,287.0,3.0,False
4841,HOUSE,APARTMENT_BLOCK,255000.0,1850.0,GOOD,Regular,5.0,230.0,USA_INSTALLED,False,False,None,None,True,339.0,432.0,3.0,False
4841,HOUSE,HOUSE,255000.0,1850.0,GOOD,Regular,5.0,230.0,USA_INSTALLED,False,False,None,None,True,339.0,432.0,3.0,False
4470,HOUSE,HOUSE,229500.0,2003.0,GOOD,Regular,3.0,171.0,INSTALLED,False,False,True,None,True,305.0,665.0,2.0,False
1731,HOUSE,HOUSE,595000.0,1971.0,AS_NEW,Regular,4.0,220.0,INSTALLED,False,False,True,100.0,None,None,422.0,4.0,False
1470,HOUSE,HOUSE,175000.0,1875.0,TO_BE_DONE_UP,Regular,2.0,95.0,NOT_INSTALLED,False,False,True,None,None,None,260.0,2.0,False
6720,HOUSE,HOUSE,200000.0,1850.0,TO_RENOVATE,Regular,4.0,256.0,NOT_INSTALLED,False,False,True,None,True,348.0,568.0,3.0,False
9600,HOUSE,HOUSE,109000.0,1915.0,TO_RENOVATE,Regular,2.0,127.0,SEMI_EQUIPPED,False,False,None,None,True,35.0,100.0,2.0,False
3320,HOUSE,HOUSE,235000.0,1969.0,AS_NEW,Regular,2.0,105.0,HYPER_EQUIPPED,False,False,None,None,True,14.0,71.0,3.0,False
3320,HOUSE,HOUSE,235000.0,1969.0,AS_NEW,Regular,2.0,100.0,HYPER_EQUIPPED,False,False,None,None,True,14.0,65.0,3.0,False
1450,HOUSE,HOUSE,310000.0,1930.0,TO_RENOVATE,Regular,3.0,118.0,SEMI_EQUIPPED,False,False,True,None,True,450.0,752.0,3.0,False
8790,HOUSE,VILLA,575000.0,1971.0,JUST_RENOVATED,Regular,4.0,225.0,INSTALLED,False,False,None,None,None,None,764.0,4.0,False
4500,HOUSE,HOUSE,150000.0,1918.0,TO_RENOVATE,Regular,4.0,170.0,SEMI_EQUIPPED,False,False,True,None,None,None,911.0,4.0,False
2960,HOUSE,HOUSE,349000.0,2001.0,TO_RENOVATE,Regular,2.0,100.0,SEMI_EQUIPPED,False,True,None,None,True,1492.0,1555.0,4.0,False
2960,HOUSE,VILLA,1050000.0,1979.0,TO_BE_DONE_UP,Regular,6.0,505.0,INSTALLED,False,False,True,62.0,True,1460.0,1841.0,4.0,False
1140,HOUSE,HOUSE,499000.0,1971.0,GOOD,Regular,3.0,155.0,USA_HYPER_EQUIPPED,False,False,True,27.0,None,None,177.0,2.0,False
1190,HOUSE,APARTMENT_BLOCK,1300000.0,1931.0,GOOD,Regular,8.0,600.0,NOT_INSTALLED,False,False,True,5.0,None,None,100.0,2.0,False
9620,HOUSE,HOUSE,225000.0,1915.0,TO_BE_DONE_UP,Regular,4.0,194.0,SEMI_EQUIPPED,False,False,True,14.0,None,None,100.0,2.0,False
1330,HOUSE,VILLA,499000.0,1935.0,GOOD,Regular,6.0,187.0,INSTALLED,False,False,True,2240.0,True,360.0,412.0,4.0,False
1050,HOUSE,HOUSE,1050000.0,1900.0,TO_RENOVATE,Regular,4.0,235.0,INSTALLED,False,False,True,None,True,150.0,271.0,2.0,False
3080,HOUSE,HOUSE,1375000.0,1972.0,GOOD,Regular,6.0,350.0,HYPER_EQUIPPED,False,True,True,100.0,True,1300.0,1557.0,4.0,False
