,id,locality,postal_code,region,province,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
0,10148922,Bruxelles,1020,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,275000,3,98,USA_HYPER_EQUIPPED,1,-1,0,1,7,-1,-1,-1,2,0,AS_NEW
1,10147556,Havelange,5370,Wallonie,Namur,APARTMENT,PENTHOUSE,residential_sale,79000,2,77,SEMI_EQUIPPED,SEMI_EQUIPPED,0,0,-1,-1,-1,-1,-1,-1,-1,GOOD
2,9881253,Brussels City,1000,Brussels,Brussels,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,-1,-1,-1,NO_INFO,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,NO_INFO
3,10147547,SINT-ANTONIUS,2980,Flanders,Antwerp,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,-1,-1,-1,NO_INFO,-1,0,0,-1,-1,-1,-1,-1,-1,-1,NO_INFO
4,10148143,Anderlecht,1070,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,235000,2,96,HYPER_EQUIPPED,1,0,0,1,8,-1,-1,-1,-1,-1,GOOD
5,10148104,Anderlecht,1070,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,265000,2,91,INSTALLED,INSTALLED,0,0,1,6,-1,-1,-1,3,0,GOOD
6,10070415,Waterloo,1410,Wallonie,Walloon Brabant,APARTMENT,APARTMENT,residential_sale,315000,2,100,INSTALLED,INSTALLED,0,0,1,3,-1,-1,-1,2,-1,GOOD
7,10147389,SINT-JOB-IN-'T-GOOR,2960,Flanders,Antwerp,APARTMENT,DUPLEX,residential_sale,335000,2,128,INSTALLED,INSTALLED,0,0,1,22,-1,-1,-1,3,-1,AS_NEW
8,10147596,Woluwe-Saint-Pierre,1150,Brussels,Brussels,APARTMENT,APARTMENT,residential_sale,370000,2,95,INSTALLED,INSTALLED,0,0,-1,-1,-1,-1,-1,2,0,GOOD
9,10092917,Bruxelles,1000,Brussels,Brussels,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,-1,-1,-1,NO_INFO,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,NO_INFO
10,10147424,HAREN (BRU.),1130,Brussels,Brussels,APARTMENT_GROUP,APARTMENT_GROUP,group_sale,-1,-1,-1,NO_INFO,-1,0,0,-1,-1,-1,-1,-1,-1,-1,NO_INFO
11,10146795,Deurne,2100,Flanders,Antwerp,APARTMENT,APARTMENT,residential_sale,215000,2,85,SEMI_EQUIPPED,SEMI_EQUIPPED,0,0,-1,-1,-1,-1,-1,2,-1,JUST_RENOVATED
12,10146530,Woluwe-Saint-Lambert,1200,Brussels,Brussels,APARTMENT,PENTHOUSE,residential_sale,297000,1,55,INSTALLED,INSTALLED,-1,0,1,10,-1,-1,-1,2,0,AS_NEW
13,10145899,Antwerp,2020,Flanders,Antwerp,APARTMENT,APARTMENT,residential_sale,195000,2,90,INSTALLED,INSTALLED,0,0,-1,-1,-1,-1,-1,2,-1,GOOD
14,10145897,Hoboken,2660,Flanders,Antwerp,APARTMENT,APARTMENT,residential_sale,225000,2,82,INSTALLED,INSTALLED,0,0,1,6,-1,-1,-1,-1,-1,AS_NEW
